1.618478596210479736e-01,3.576177731156349182e-02,7.206825017929077148e-01,6.911926716566085815e-02,1.258864626288414001e-02
2.984901368618011475e-01,1.757479906082153320e-01,1.254544854164123535e-01,2.219687104225158691e-01,1.783386468887329102e-01
1.516833435744047165e-04,6.632934673689305782e-05,4.734677983009305535e-09,2.889097913794103079e-06,9.997792840003967285e-01
5.251263268291950226e-03,9.635894457460381091e-06,1.495692231401335448e-05,9.273613095283508301e-01,6.736288219690322876e-02
1.550967544317245483e-01,1.946570575237274170e-01,4.210850596427917480e-02,2.803815901279449463e-01,3.277561068534851074e-01
2.272581607103347778e-01,2.691535949707031250e-01,2.254548668861389160e-01,9.993161261081695557e-02,1.782017052173614502e-01
3.772291893255896866e-05,9.998355507850646973e-01,5.266892912914045155e-06,9.900607983581721783e-05,2.257790583826135844e-05
6.628257036209106445e-02,2.112129330635070801e-02,8.788937330245971680e-01,1.565421745181083679e-02,1.804819703102111816e-02
4.605980589985847473e-03,3.580009043216705322e-01,1.210251008160412312e-03,2.445268444716930389e-02,6.117302179336547852e-01
8.400096297264099121e-01,1.350464764982461929e-02,8.791183680295944214e-02,3.007135167717933655e-02,2.850255183875560760e-02
7.481024861335754395e-01,2.934872895821172278e-07,7.311265903808816802e-07,4.798683803528547287e-03,2.470977157354354858e-01
1.139164487540256232e-05,1.052135703503154218e-04,5.824756808578968048e-04,6.829552054405212402e-01,3.163456618785858154e-01
2.073978334665298462e-01,2.894173264503479004e-01,7.562965154647827148e-02,4.253013432025909424e-01,2.253833459690213203e-03
1.529591977596282959e-01,2.864237725734710693e-01,7.722736895084381104e-02,2.085023075342178345e-01,2.748873531818389893e-01
3.260841071605682373e-01,1.452018469572067261e-01,7.345580309629440308e-02,2.714437544345855713e-01,1.838146299123764038e-01
4.901871830224990845e-02,1.012277882546186447e-02,3.468318376690149307e-03,8.922465890645980835e-02,8.481656312942504883e-01
1.135864630341529846e-01,1.530061103403568268e-02,7.579314112663269043e-01,1.458747878047006452e-08,1.131815165281295776e-01
1.521337330341339111e-01,2.181045711040496826e-01,6.106075644493103027e-01,1.457516045775264502e-04,1.900834403932094574e-02
